eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
1.98E+11,1983,1,11,,0,,217,United States,1,North America,Florida,Miami,25.764367,-80.201529,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,11,Entertainment/Cultural/Stadium/Casino,Paradise International Travel Agency*,,217,United States,,,,,,,,,,,,,,,,,Omega-7,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,1,0,1,
1.98E+11,1983,1,11,,0,,217,United States,1,North America,Florida,Miami,25.764367,-80.201529,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,5,Industrial/Textiles/Factory,Little Havana Cigar Factory,,51,Cuba,,,,,,,,,,,,,,,,,Omega-7,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),25000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,0,1,1,
1.98E+11,1983,1,11,,0,,217,United States,1,North America,Florida,Miami,25.764367,-80.201529,1,0,,,1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Replica Magazine,Spanish Language magazine offices,217,United States,,,,,,,,,,,,,,,,,Omega-7,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,1,0,1,
1.98E+11,1983,1,16,,0,,217,United States,1,North America,Puerto Rico,San Juan,18.46617,-66.106654,1,0,,,1,1,1,-9,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,81,Museum/Cultural Center/Cultural House,,Fine Arts Center of San Juan,163,Puerto Rico,,,,,,,217,United States,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
1.98E+11,1983,1,21,,0,,217,United States,1,North America,California,Anaheim,33.83276,-117.915719,1,0,9 at bakery,"01/21/1983: Unknown perpetrators planted nine bombs at the Golden Jack Bakery, a Middle Eastern bakery, which sells Armenian and Lebanese breads, in Anaheim, California, United States.  Authorities discovered the pipe bombs, which were made of highly volatile, smokeless powder and  strung together with wires, when they were called to a fire at the bakery, which was set off by a battery-powered device. It is suspected that the arson and the bombs were linked.  All of the bombs were removed and deactivated, and there were no injuries in this incident, but the extent of property damage from the fire is unknown.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,7,Facility/Infrastructure Attack,,,1,Business,7,Retail/Grocery/Bakery,Golden Jack Bakery,"Golden Jack Bakery, a Middle-Eastern bakery in Anaheim, California",217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,8,Incendiary,18,Arson/Fire,,,,,,,,,"a fire was set, and nine pipe bombs made of highly volatile smokeless powder and strung together with wire were planted",0,0,0,0,0,0,-9,,,,"the bombs did not detonate, but the fire may have caused damage",0,,,,,,,,,,,,,,,,"Authorities believed the fire to be arson, started by a battery-operated device,  and connected to the bombs. Is  suspected the bakery was targeted because of selling Armenian and Lebanese breads, and that the explosives were made in the Soviet Union.","""9 Bombs Defused After Fire In Bakery in Anaheim, Calif.,"" New York Times, January 22, 1983.","United Press International, January 21, 1983.","""A Chronicle of Armenian Terrorism in North America and Elsewhere,"" The Assembly of Turkish American Associations, 2000.",Hewitt Project,-9,-9,0,-9,
1.98E+11,1983,1,28,,0,,217,United States,1,North America,New York,New York City,40.712784,-74.005941,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21,Government Building/Facility/Office,,FBI offices,217,United States,,,,,,,,,,,,,,,,,May 19 Communist Order,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.98E+11,1983,2,13,,0,,217,United States,1,North America,North Dakota,Medina,46.89426,-99.299994,1,0,,,1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Local,U.S. Marshalls,217,United States,,,,,,,,,,,,,,,,,Posse Comitatus,,,,,,,0,,,0,2,,,,,,,,,,,,5,Firearms,2,Automatic Weapon,,,,,,,,,,,,,Automatic firearm,2,2,,1,1,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.98E+11,1983,2,15,,0,,217,United States,1,North America,Texas,Killeen,31.116835,-97.727109,1,0,The incident occurred aboard Rio Airways Flight 252,"02/15/1983: Armed with a 9mm submachine automatic rifle and possibly a bomb, Iranian immigrant, Hussein Shey Kholya, hijacked Rio Airways Flight 252 about halfway through the one hour flight from Killeen, Texas, en route to Dallas-Fort Worth Regional Airport in Dallas, Texas.  During the incident, Kholya held hostage the 21 other passengers and crew members on the plane, and only released them after diverting the plane to land in Nuevo Laredo, Mexico, once Kholya made a deal with Mexican officials for a plane ticket to Cuba in exchange for the release of the passengers.  All the hostages were released unharmed.  Kholya's motivation for hijacking the plane was because he was opposed to U.S. policy towards Iran and he wanted to make Americans aware of the conditions in Iran.",1,1,1,0,,,0,1,0,4,Hijacking,,,,,6,Airports & Aircraft,42,Aircraft (not at an airport),Rio Airways,"Rio Airways Flight 252 departing from Killeen, Texas, en route to Dallas",217,United States,,,,,,,,,,,,,,,,,Iranian extremists,,,,,,To protest United States policy towards Iran.,0,,,1,1,1,,,,,,,,,,,5,Firearms,2,Automatic Weapon,,,,,,,,,,,,,9mm submachine gun,0,0,0,0,0,0,0,,,,,1,21,21,2,0,Mexico,Mexico,0,,,,,,2,Hostage(s) released by perpetrators,21,"The plane was seized at about 10:27am south of Dallas, and landed in Nuevo Laredo at about 11:45am.  Kholya, who was reportedly a former Iranian air force pilot, claimed he had a bomb and threatened to blow up the aircraft, which was a de Havilland-7, a four-engine, 48-passenger turboprop.  Additionally, Kholya had a statement with him on the plane, which stated that 26,000 Iranians ""have been killed for no cause."" The passengers were freed in two groups; six passengers were released just after the plane landed in Nuevo Laredo and the remaining 15 hostages were let go just before the gunman boarded the Mexican jet.  Kholya requested a flight to Cuba, but he was taken to police headquarters in Mexico pending his extradition to the United States.  His extradition could not be arranged; he was being charged with air piracy, kidnapping and carrying a firearm without a permit.","""FBI Analysis of Terrorist Incidents in the United States: 1983,"" Terrorist Research and Analytical Center, Terrorism Section, Criminal Investigative Division, FBI, DOJ, 1983.","Concepcion Badillo, The Associated Press, February 16, 1983.","""Iranian Hijacker Charged,"" The Associated Press, March 9, 1983.",Hewitt Project,1,1,0,1,
1.98E+11,1983,2,17,,0,,217,United States,1,North America,District of Columbia,Washington,38.89037,-77.031959,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,6,Airports & Aircraft,43,Airline Officer/Personnel,,Aeroflot Soviet Airlines building,359,Soviet Union,,,,,,,,,,,,,,,,,Omega-7,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,1,1,1,
1.98E+11,1983,2,23,,0,,217,United States,1,North America,New York,Utica,43.095808,-75.242762,1,0,,"02/23/1982: Members of the United Freedom Front robbed Marine Midland Bank in Utica, New York, United States. $100,000 were stolen.  It is unknown if anyone was injured in the incident.",1,0,1,1,2,Other Crime Type,0,1,0,5,Hostage Taking (Barricade Incident),,,,,1,Business,3,Bank/Commerce,Marine Midland Bank,bank,217,United States,,,,,,,,,,,,,,,,,United Freedom Front (UFF),,,,,,"The United Freedom Front believed in a Marxist philosophy and opposed US militarism in Central America, and the group sought to redistribute economic wealth in the U.S. and used bank robberies to finance their goals. Additionally, their efforts were to improve prison life.",0,,,0,-99,-99,0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,,,,1,3,Minor (likely < $1 million),100000,money stolen,0,,,,,,,,,,,,,,,,,"United Press International, March 9, 1987.","Brent L. Smith, ""Terrorism in America: Pipe Bombs and Pipe Dreams,"" State University of New York Press, 1994.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,0,0,0,0,
